bgc_id,genome_id,region,accession,start_pos,end_pos,contig_edge,product,region_length,most_similar_known_cluster_id,most_similar_known_cluster_description,most_similar_known_cluster_type,similarity,source,gbk_path
CP128152.1.region006,GCA_030292135.1,1.6,CP128152.1,2584108,2631119,False,['NRPS'],47011,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030292135.1/CP128152.1.region006.gbk
CP128152.1.region007,GCA_030292135.1,1.7,CP128152.1,2641729,2651993,False,['RiPP-like'],10264,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030292135.1/CP128152.1.region007.gbk
CP128152.1.region008,GCA_030292135.1,1.8,CP128152.1,3472642,3494496,False,['terpene'],21854,BGC0000916,molybdenum cofactor,Other,0.17647058823529413,bgcflow,data/interim/antismash/7.0.0/GCA_030292135.1/CP128152.1.region008.gbk
CP128151.1.region001,GCA_030292135.1,2.1,CP128151.1,102387,165389,False,['NRPS'],63002,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030292135.1/CP128151.1.region001.gbk
CP128151.1.region002,GCA_030292135.1,2.2,CP128151.1,280308,340812,False,"['NRPS', 'arylpolyene']",60504,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030292135.1/CP128151.1.region002.gbk
CP128151.1.region003,GCA_030292135.1,2.3,CP128151.1,358115,405714,False,['NRPS'],47599,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030292135.1/CP128151.1.region003.gbk
JAUCFI010000003.1.region001,GCA_030348515.1,1.1,JAUCFI010000003.1,693500,753817,False,['NRPS'],60317,BGC0000377,koranimine,NRP,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_030348515.1/JAUCFI010000003.1.region001.gbk
JAUCFI010000003.1.region002,GCA_030348515.1,1.2,JAUCFI010000003.1,2552162,2576179,False,['betalactone'],24017,BGC0001095,fengycin,NRP,0.4666666666666667,bgcflow,data/interim/antismash/7.0.0/GCA_030348515.1/JAUCFI010000003.1.region002.gbk
JAUCFI010000003.1.region003,GCA_030348515.1,1.3,JAUCFI010000003.1,3469481,3510570,False,['T3PKS'],41089,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348515.1/JAUCFI010000003.1.region003.gbk
JAUCFI010000003.1.region004,GCA_030348515.1,1.4,JAUCFI010000003.1,3653695,3673791,False,['terpene'],20096,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348515.1/JAUCFI010000003.1.region004.gbk
JAUCFI010000003.1.region005,GCA_030348515.1,1.5,JAUCFI010000003.1,3867297,3891289,False,['lassopeptide'],23992,BGC0001356,paeninodin,RiPP,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_030348515.1/JAUCFI010000003.1.region005.gbk
JAUCFI010000003.1.region006,GCA_030348515.1,1.6,JAUCFI010000003.1,4662920,4686456,False,['LAP'],23536,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348515.1/JAUCFI010000003.1.region006.gbk
JAUCFI010000003.1.region007,GCA_030348515.1,1.7,JAUCFI010000003.1,5356896,5378792,False,['terpene'],21896,BGC0002043,cittilin A/cittilin B,RiPP,0.07692307692307693,bgcflow,data/interim/antismash/7.0.0/GCA_030348515.1/JAUCFI010000003.1.region007.gbk
JAUCFI010000003.1.region008,GCA_030348515.1,1.8,JAUCFI010000003.1,5706776,5722289,False,['NI-siderophore'],15513,BGC0002683,schizokinen,Other,0.6,bgcflow,data/interim/antismash/7.0.0/GCA_030348515.1/JAUCFI010000003.1.region008.gbk
JAVIWA010000001.1.region001,GCA_031324045.1,1.1,JAVIWA010000001.1,25806,128036,False,"['NRPS', 'T1PKS']",102230,BGC0000407,plipastatin,NRP,0.3076923076923077,bgcflow,data/interim/antismash/7.0.0/GCA_031324045.1/JAVIWA010000001.1.region001.gbk
JAVIWA010000001.1.region002,GCA_031324045.1,1.2,JAVIWA010000001.1,140827,162968,False,['opine-like-metallophore'],22141,BGC0002488,bacillopaline,Other,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_031324045.1/JAVIWA010000001.1.region002.gbk
JAVIWA010000001.1.region003,GCA_031324045.1,1.3,JAVIWA010000001.1,764861,780324,False,['NI-siderophore'],15463,BGC0002683,schizokinen,Other,0.6,bgcflow,data/interim/antismash/7.0.0/GCA_031324045.1/JAVIWA010000001.1.region003.gbk
JAVIWA010000001.1.region004,GCA_031324045.1,1.4,JAVIWA010000001.1,893766,934963,False,"['thiopeptide', 'LAP']",41197,BGC0000693,butirosin A/butirosin B,Saccharide,0.07692307692307693,bgcflow,data/interim/antismash/7.0.0/GCA_031324045.1/JAVIWA010000001.1.region004.gbk
JAVIWA010000001.1.region005,GCA_031324045.1,1.5,JAVIWA010000001.1,1616925,1680947,False,['NRPS'],64022,BGC0000381,lichenysin,NRP,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_031324045.1/JAVIWA010000001.1.region005.gbk
JAVIWA010000001.1.region006,GCA_031324045.1,1.6,JAVIWA010000001.1,1859825,1884239,False,['lanthipeptide-class-i'],24414,BGC0000506,entianin,RiPP:Lanthipeptide,0.18181818181818182,bgcflow,data/interim/antismash/7.0.0/GCA_031324045.1/JAVIWA010000001.1.region006.gbk
JAVIWA010000001.1.region007,GCA_031324045.1,1.7,JAVIWA010000001.1,1926216,1955588,False,"['cyclic-lactone-autoinducer', 'lanthipeptide-class-ii']",29372,BGC0002663,amyloliquecidin GF610,RiPP,0.9333333333333333,bgcflow,data/interim/antismash/7.0.0/GCA_031324045.1/JAVIWA010000001.1.region007.gbk
JAVIWA010000001.1.region008,GCA_031324045.1,1.8,JAVIWA010000001.1,2566546,2618351,False,"['NRP-metallophore', 'NRPS']",51805,BGC0002695,bacillibactin/bacillibactin E/bacillibactin F,NRP,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_031324045.1/JAVIWA010000001.1.region008.gbk
JAVIWA010000059.1.region001,GCA_031324045.1,2.1,JAVIWA010000059.1,192246,220754,False,['betalactone'],28508,BGC0001095,fengycin,NRP,0.5333333333333333,bgcflow,data/interim/antismash/7.0.0/GCA_031324045.1/JAVIWA010000059.1.region001.gbk
JAVIWA010000059.1.region002,GCA_031324045.1,2.2,JAVIWA010000059.1,335012,356902,False,['terpene'],21890,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_031324045.1/JAVIWA010000059.1.region002.gbk
JAVIWA010000059.1.region003,GCA_031324045.1,2.3,JAVIWA010000059.1,403734,444838,False,['T3PKS'],41104,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_031324045.1/JAVIWA010000059.1.region003.gbk
JAVIWA010000059.1.region004,GCA_031324045.1,2.4,JAVIWA010000059.1,579789,662807,False,['NRPS'],83018,BGC0000310,bacitracin,NRP,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_031324045.1/JAVIWA010000059.1.region004.gbk
JAVIWA010000059.1.region005,GCA_031324045.1,2.5,JAVIWA010000059.1,1576473,1595613,True,"['RRE-containing', 'lassopeptide']",19140,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_031324045.1/JAVIWA010000059.1.region005.gbk
JAUCFL010000007.1.region001,GCA_030348445.1,1.1,JAUCFL010000007.1,128614,150731,False,['opine-like-metallophore'],22117,BGC0002488,bacillopaline,Other,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region001.gbk
JAUCFL010000007.1.region002,GCA_030348445.1,1.2,JAUCFL010000007.1,670375,732197,False,"['T1PKS', 'transAT-PKS', 'NRPS']",61822,BGC0001034,pellasoren/pellasoren B,NRP+Polyketide:Modular type I polyketide,0.3333333333333333,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region002.gbk
JAUCFL010000007.1.region003,GCA_030348445.1,1.3,JAUCFL010000007.1,1047939,1102080,False,['NRPS'],54141,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region003.gbk
JAUCFL010000007.1.region004,GCA_030348445.1,1.4,JAUCFL010000007.1,1449039,1511577,False,"['transAT-PKS', 'NRPS']",62538,BGC0001728,paenilipoheptin,NRP+Polyketide,0.23076923076923078,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region004.gbk
JAUCFL010000007.1.region005,GCA_030348445.1,1.5,JAUCFL010000007.1,2452098,2493268,False,['T3PKS'],41170,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region005.gbk
JAUCFL010000007.1.region006,GCA_030348445.1,1.6,JAUCFL010000007.1,3143905,3185714,False,['NRPS-like'],41809,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region006.gbk
JAUCFL010000007.1.region007,GCA_030348445.1,1.7,JAUCFL010000007.1,3459831,3480317,False,['cyclic-lactone-autoinducer'],20486,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region007.gbk
JAUCFL010000007.1.region008,GCA_030348445.1,1.8,JAUCFL010000007.1,3527290,3551282,False,['lassopeptide'],23992,BGC0001356,paeninodin,RiPP,0.6,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region008.gbk
JAUCFL010000007.1.region009,GCA_030348445.1,1.9,JAUCFL010000007.1,4192366,4212651,False,['proteusin'],20285,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region009.gbk
JAUCFL010000007.1.region010,GCA_030348445.1,1.10,JAUCFL010000007.1,4437874,4455779,False,['NI-siderophore'],17905,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region010.gbk
JAUCFL010000007.1.region011,GCA_030348445.1,1.11,JAUCFL010000007.1,4554952,4606718,False,['NRPS'],51766,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region011.gbk
JAUCFL010000007.1.region012,GCA_030348445.1,1.12,JAUCFL010000007.1,5407999,5436861,False,['lanthipeptide-class-ii'],28862,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region012.gbk
JAUCFL010000007.1.region013,GCA_030348445.1,1.13,JAUCFL010000007.1,5906459,5958662,False,"['NRP-metallophore', 'NRPS']",52203,BGC0000309,bacillibactin,NRP,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region013.gbk
JAUCFL010000007.1.region014,GCA_030348445.1,1.14,JAUCFL010000007.1,6241371,6262835,False,['RRE-containing'],21464,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region014.gbk
JAUCFL010000007.1.region015,GCA_030348445.1,1.15,JAUCFL010000007.1,6368123,6388996,False,['terpene'],20873,BGC0000645,carotenoid,Terpene,0.3333333333333333,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region015.gbk
JAUCFL010000007.1.region016,GCA_030348445.1,1.16,JAUCFL010000007.1,6654193,6759933,False,['NRPS'],105740,BGC0000403,pelgipeptin,NRP,0.875,bgcflow,data/interim/antismash/7.0.0/GCA_030348445.1/JAUCFL010000007.1.region016.gbk
CP126096.1.region001,GCA_030123125.1,1.1,CP126096.1,183740,226400,False,['NRPS-like'],42660,BGC0001005,locillomycin/locillomycin B/locillomycin C,NRP+Polyketide,0.21428571428571427,bgcflow,data/interim/antismash/7.0.0/GCA_030123125.1/CP126096.1.region001.gbk
CP126096.1.region002,GCA_030123125.1,1.2,CP126096.1,356755,438583,False,['NRPS'],81828,BGC0000381,lichenysin,NRP,0.8571428571428571,bgcflow,data/interim/antismash/7.0.0/GCA_030123125.1/CP126096.1.region002.gbk
CP126096.1.region003,GCA_030123125.1,1.3,CP126096.1,906889,927795,False,['RRE-containing'],20906,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030123125.1/CP126096.1.region003.gbk
CP126096.1.region004,GCA_030123125.1,1.4,CP126096.1,1075202,1103724,False,"['terpene', 'NI-siderophore']",28522,BGC0002683,schizokinen,Other,0.6,bgcflow,data/interim/antismash/7.0.0/GCA_030123125.1/CP126096.1.region004.gbk
CP126096.1.region005,GCA_030123125.1,1.5,CP126096.1,1856116,1882994,False,['betalactone'],26878,BGC0001095,fengycin,NRP,0.5333333333333333,bgcflow,data/interim/antismash/7.0.0/GCA_030123125.1/CP126096.1.region005.gbk
CP126096.1.region006,GCA_030123125.1,1.6,CP126096.1,1941421,1963299,False,['terpene'],21878,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030123125.1/CP126096.1.region006.gbk
CP126096.1.region007,GCA_030123125.1,1.7,CP126096.1,2001475,2042573,False,['T3PKS'],41098,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030123125.1/CP126096.1.region007.gbk
CP126096.1.region008,GCA_030123125.1,1.8,CP126096.1,2354059,2363436,False,['RiPP-like'],9377,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030123125.1/CP126096.1.region008.gbk
CP126096.1.region009,GCA_030123125.1,1.9,CP126096.1,2497059,2529476,False,['betalactone'],32417,BGC0000469,bottromycin A2,RiPP:Bottromycin,0.06060606060606061,bgcflow,data/interim/antismash/7.0.0/GCA_030123125.1/CP126096.1.region009.gbk
CP126096.1.region010,GCA_030123125.1,1.10,CP126096.1,3650560,3660905,False,['RiPP-like'],10345,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030123125.1/CP126096.1.region010.gbk
CP126096.1.region011,GCA_030123125.1,1.11,CP126096.1,3727486,3779216,False,"['NRP-metallophore', 'NRPS']",51730,BGC0002695,bacillibactin/bacillibactin E/bacillibactin F,NRP,0.8,bgcflow,data/interim/antismash/7.0.0/GCA_030123125.1/CP126096.1.region011.gbk
CP126688.1.region001,GCA_030219985.1,1.1,CP126688.1,399938,442019,False,['NRPS-like'],42081,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030219985.1/CP126688.1.region001.gbk
CP126688.1.region002,GCA_030219985.1,1.2,CP126688.1,1195758,1219265,False,['LAP'],23507,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030219985.1/CP126688.1.region002.gbk
CP126688.1.region003,GCA_030219985.1,1.3,CP126688.1,1822399,1836107,False,['NI-siderophore'],13708,BGC0000942,petrobactin,Other,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_030219985.1/CP126688.1.region003.gbk
CP126688.1.region004,GCA_030219985.1,1.4,CP126688.1,2181703,2233452,False,"['NRP-metallophore', 'NRPS']",51749,BGC0000309,bacillibactin,NRP,0.8571428571428571,bgcflow,data/interim/antismash/7.0.0/GCA_030219985.1/CP126688.1.region004.gbk
CP126688.1.region005,GCA_030219985.1,1.5,CP126688.1,2309499,2372492,False,['NRPS'],62993,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030219985.1/CP126688.1.region005.gbk
CP126688.1.region006,GCA_030219985.1,1.6,CP126688.1,2401123,2426362,False,['betalactone'],25239,BGC0001095,fengycin,NRP,0.4,bgcflow,data/interim/antismash/7.0.0/GCA_030219985.1/CP126688.1.region006.gbk
CP126688.1.region007,GCA_030219985.1,1.7,CP126688.1,2479997,2489320,False,['RiPP-like'],9323,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030219985.1/CP126688.1.region007.gbk
CP126688.1.region008,GCA_030219985.1,1.8,CP126688.1,2625767,2636016,False,['RiPP-like'],10249,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030219985.1/CP126688.1.region008.gbk
CP126688.1.region009,GCA_030219985.1,1.9,CP126688.1,2650263,2697280,False,['NRPS'],47017,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030219985.1/CP126688.1.region009.gbk
CP126688.1.region010,GCA_030219985.1,1.10,CP126688.1,3482980,3504834,False,['terpene'],21854,BGC0000916,molybdenum cofactor,Other,0.17647058823529413,bgcflow,data/interim/antismash/7.0.0/GCA_030219985.1/CP126688.1.region010.gbk
CP126687.1.region001,GCA_030219985.1,2.1,CP126687.1,4290,39467,True,"['thiopeptide', 'sactipeptide', 'LAP']",35177,BGC0000600,thurincin H,RiPP,0.7,bgcflow,data/interim/antismash/7.0.0/GCA_030219985.1/CP126687.1.region001.gbk
CP126687.1.region002,GCA_030219985.1,2.2,CP126687.1,48084,178254,False,"['lanthipeptide-class-ii', 'NRPS', 'T1PKS']",130170,BGC0001059,zwittermicin A,NRP+Polyketide,0.8148148148148148,bgcflow,data/interim/antismash/7.0.0/GCA_030219985.1/CP126687.1.region002.gbk
CP126099.1.region001,GCA_030123185.1,1.1,CP126099.1,988054,1000003,False,['RiPP-like'],11949,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030123185.1/CP126099.1.region001.gbk
CP126099.1.region002,GCA_030123185.1,1.2,CP126099.1,1223401,1246909,False,['LAP'],23508,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030123185.1/CP126099.1.region002.gbk
CP126099.1.region003,GCA_030123185.1,1.3,CP126099.1,1899764,1913472,False,['NI-siderophore'],13708,BGC0000942,petrobactin,Other,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_030123185.1/CP126099.1.region003.gbk
CP126099.1.region004,GCA_030123185.1,1.4,CP126099.1,2224081,2275840,False,"['NRP-metallophore', 'NRPS']",51759,BGC0000309,bacillibactin,NRP,0.8571428571428571,bgcflow,data/interim/antismash/7.0.0/GCA_030123185.1/CP126099.1.region004.gbk
CP126099.1.region005,GCA_030123185.1,1.5,CP126099.1,2407577,2432816,False,['betalactone'],25239,BGC0001095,fengycin,NRP,0.4,bgcflow,data/interim/antismash/7.0.0/GCA_030123185.1/CP126099.1.region005.gbk
CP126099.1.region006,GCA_030123185.1,1.6,CP126099.1,2489372,2498937,False,['RiPP-like'],9565,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030123185.1/CP126099.1.region006.gbk
CP126099.1.region007,GCA_030123185.1,1.7,CP126099.1,2601160,2611433,False,['RiPP-like'],10273,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030123185.1/CP126099.1.region007.gbk
CP126099.1.region008,GCA_030123185.1,1.8,CP126099.1,2628169,2675180,False,['NRPS'],47011,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030123185.1/CP126099.1.region008.gbk
CP126099.1.region009,GCA_030123185.1,1.9,CP126099.1,3463411,3485265,False,['terpene'],21854,BGC0000916,molybdenum cofactor,Other,0.17647058823529413,bgcflow,data/interim/antismash/7.0.0/GCA_030123185.1/CP126099.1.region009.gbk
JAUCEZ010000009.1.region001,GCA_030348705.1,1.1,JAUCEZ010000009.1,279008,294522,False,['NI-siderophore'],15514,BGC0002633,schizokinen,Other,0.75,bgcflow,data/interim/antismash/7.0.0/GCA_030348705.1/JAUCEZ010000009.1.region001.gbk
JAUCEZ010000009.1.region002,GCA_030348705.1,1.2,JAUCEZ010000009.1,615105,635399,False,['terpene'],20294,BGC0002043,cittilin A/cittilin B,RiPP,0.07692307692307693,bgcflow,data/interim/antismash/7.0.0/GCA_030348705.1/JAUCEZ010000009.1.region002.gbk
JAUCEZ010000009.1.region003,GCA_030348705.1,1.3,JAUCEZ010000009.1,1200902,1224441,False,['LAP'],23539,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348705.1/JAUCEZ010000009.1.region003.gbk
JAUCEZ010000009.1.region004,GCA_030348705.1,1.4,JAUCEZ010000009.1,1870637,1894608,False,['lassopeptide'],23971,BGC0001356,paeninodin,RiPP,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_030348705.1/JAUCEZ010000009.1.region004.gbk
JAUCEZ010000009.1.region005,GCA_030348705.1,1.5,JAUCEZ010000009.1,2102526,2123345,False,['terpene'],20819,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348705.1/JAUCEZ010000009.1.region005.gbk
JAUCEZ010000009.1.region006,GCA_030348705.1,1.6,JAUCEZ010000009.1,2264997,2306086,False,['T3PKS'],41089,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348705.1/JAUCEZ010000009.1.region006.gbk
JAUCEZ010000009.1.region007,GCA_030348705.1,1.7,JAUCEZ010000009.1,3034230,3113011,False,"['betalactone', 'NRPS']",78781,BGC0001095,fengycin,NRP,0.4666666666666667,bgcflow,data/interim/antismash/7.0.0/GCA_030348705.1/JAUCEZ010000009.1.region007.gbk
JAUCEZ010000009.1.region008,GCA_030348705.1,1.8,JAUCEZ010000009.1,3134004,3154637,False,['cyclic-lactone-autoinducer'],20633,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348705.1/JAUCEZ010000009.1.region008.gbk
JAUCEZ010000009.1.region009,GCA_030348705.1,1.9,JAUCEZ010000009.1,4644464,4704772,False,['NRPS'],60308,BGC0000377,koranimine,NRP,1.125,bgcflow,data/interim/antismash/7.0.0/GCA_030348705.1/JAUCEZ010000009.1.region009.gbk
JAUCEV010000008.1.region001,GCA_030348785.1,1.1,JAUCEV010000008.1,1471395,1514573,False,['NRPS'],43178,BGC0000093,meilingmycin,Polyketide,0.021739130434782608,bgcflow,data/interim/antismash/7.0.0/GCA_030348785.1/JAUCEV010000008.1.region001.gbk
JAUCEV010000008.1.region002,GCA_030348785.1,1.2,JAUCEV010000008.1,1679037,1739354,False,['NRPS'],60317,BGC0000377,koranimine,NRP,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_030348785.1/JAUCEV010000008.1.region002.gbk
JAUCEV010000008.1.region003,GCA_030348785.1,1.3,JAUCEV010000008.1,2459895,2475409,False,['NI-siderophore'],15514,BGC0002683,schizokinen,Other,0.6,bgcflow,data/interim/antismash/7.0.0/GCA_030348785.1/JAUCEV010000008.1.region003.gbk
JAUCEV010000008.1.region004,GCA_030348785.1,1.4,JAUCEV010000008.1,2803243,2824674,False,['terpene'],21431,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348785.1/JAUCEV010000008.1.region004.gbk
JAUCEV010000008.1.region005,GCA_030348785.1,1.5,JAUCEV010000008.1,3419696,3443235,False,['LAP'],23539,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348785.1/JAUCEV010000008.1.region005.gbk
JAUCEV010000008.1.region006,GCA_030348785.1,1.6,JAUCEV010000008.1,4175002,4198997,False,['lassopeptide'],23995,BGC0001356,paeninodin,RiPP,1.0,bgcflow,data/interim/antismash/7.0.0/GCA_030348785.1/JAUCEV010000008.1.region006.gbk
JAUCEV010000008.1.region007,GCA_030348785.1,1.7,JAUCEV010000008.1,4427481,4448300,False,['terpene'],20819,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348785.1/JAUCEV010000008.1.region007.gbk
JAUCEV010000008.1.region008,GCA_030348785.1,1.8,JAUCEV010000008.1,4585729,4626818,False,['T3PKS'],41089,,,,,bgcflow,data/interim/antismash/7.0.0/GCA_030348785.1/JAUCEV010000008.1.region008.gbk
