bgc_id,product,bigscape_class,genome_id,accn_id,gcf_0.50,gcf_0.30,gcf_0.40,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30,fam_id_0.40,fam_type_0.40,fam_known_compounds_0.40
JAVIWA010000059.1.region001,betalactone,Others,GCA_031324045.1,JAVIWA010000059.1,3539,3659,3539,794,170,unknown_family,u_Others_170,1,known_family,fengycin
JAVIWA010000001.1.region006,lanthipeptide-class-i,RiPPs,GCA_031324045.1,JAVIWA010000001.1,3656,3656,3656,2582,191,unknown_family,u_RiPPs_191,171,unknown_family,u_RiPPs_171
JAVIWA010000001.1.region001,T1PKS.NRPS,PKS-NRP_Hybrids,GCA_031324045.1,JAVIWA010000001.1,3651,3651,3651,1023,381,unknown_family,u_PKS-NRP_Hybrids_381,333,unknown_family,u_PKS-NRP_Hybrids_333
JAVIWA010000001.1.region008,NRP-metallophore.NRPS,Others,GCA_031324045.1,JAVIWA010000001.1,3292,3292,3292,794,64,unknown_family,u_Others_64,64,unknown_family,u_Others_64
JAVIWA010000001.1.region002,opine-like-metallophore,Others,GCA_031324045.1,JAVIWA010000001.1,2264,3652,3517,794,172,unknown_family,u_Others_172,68,known_family,bacillopaline
JAVIWA010000059.1.region002,terpene,Terpene,GCA_031324045.1,JAVIWA010000059.1,3311,2555,3311,3538,7,unknown_family,u_Terpene_7,6,unknown_family,u_Terpene_6
JAVIWA010000059.1.region004,NRPS,NRPS,GCA_031324045.1,JAVIWA010000059.1,290,290,290,,126,known_family,bacitracin,115,known_family,bacitracin
JAVIWA010000001.1.region004,LAP.thiopeptide,RiPPs,GCA_031324045.1,JAVIWA010000001.1,3654,3654,3654,2582,81,unknown_family,u_RiPPs_81,79,unknown_family,u_RiPPs_79
JAVIWA010000001.1.region003,NI-siderophore,Others,GCA_031324045.1,JAVIWA010000001.1,3179,3287,3583,794,69,unknown_family,u_Others_69,3,unknown_family,u_Others_3
JAVIWA010000001.1.region005,NRPS,NRPS,GCA_031324045.1,JAVIWA010000001.1,355,3655,3655,,61,known_family,lichenysin,59,known_family,lichenysin
JAVIWA010000059.1.region005,RRE-containing.lassopeptide,RiPPs,GCA_031324045.1,JAVIWA010000059.1,3663,3663,3663,2582,261,unknown_family,u_RiPPs_261,231,unknown_family,u_RiPPs_231
JAUCFL010000007.1.region005,T3PKS,PKSother,GCA_030348445.1,JAUCFL010000007.1,3363,3363,3363,,324,unknown_family,u_PKSother_324,282,unknown_family,u_PKSother_282
JAUCFL010000007.1.region013,NRP-metallophore.NRPS,Others,GCA_030348445.1,JAUCFL010000007.1,2535,3371,3371,794,98,unknown_family,u_Others_98,90,unknown_family,u_Others_90
JAUCFL010000007.1.region011,NRPS,NRPS,GCA_030348445.1,JAUCFL010000007.1,3369,3369,3369,,322,unknown_family,u_NRPS_322,280,unknown_family,u_NRPS_280
JAUCFL010000007.1.region010,NI-siderophore,Others,GCA_030348445.1,JAUCFL010000007.1,3368,3368,3368,794,140,unknown_family,u_Others_140,129,unknown_family,u_Others_129
JAUCFL010000007.1.region007,cyclic-lactone-autoinducer,RiPPs,GCA_030348445.1,JAUCFL010000007.1,3365,3365,3365,2582,263,unknown_family,u_RiPPs_263,233,unknown_family,u_RiPPs_233
JAUCFL010000007.1.region012,lanthipeptide-class-ii,RiPPs,GCA_030348445.1,JAUCFL010000007.1,3370,3370,3370,2582,214,unknown_family,u_RiPPs_214,192,unknown_family,u_RiPPs_192
JAUCFL010000007.1.region004,transAT-PKS.NRPS,PKS-NRP_Hybrids,GCA_030348445.1,JAUCFL010000007.1,3497,3362,3497,1023,378,unknown_family,u_PKS-NRP_Hybrids_378,127,unknown_family,u_PKS-NRP_Hybrids_127
JAUCFL010000007.1.region014,RRE-containing,RiPPs,GCA_030348445.1,JAUCFL010000007.1,3372,3372,3372,2582,268,unknown_family,u_RiPPs_268,237,unknown_family,u_RiPPs_237
JAUCFL010000007.1.region001,opine-like-metallophore,Others,GCA_030348445.1,JAUCFL010000007.1,3509,3359,3359,794,181,unknown_family,u_Others_181,162,unknown_family,u_Others_162
JAUCFL010000007.1.region015,terpene,Terpene,GCA_030348445.1,JAUCFL010000007.1,2677,3507,3507,2488,135,unknown_family,u_Terpene_135,124,unknown_family,u_Terpene_124
JAUCFL010000007.1.region002,T1PKS.transAT-PKS.NRPS,PKS-NRP_Hybrids,GCA_030348445.1,JAUCFL010000007.1,3360,3360,3360,1023,375,unknown_family,u_PKS-NRP_Hybrids_375,329,unknown_family,u_PKS-NRP_Hybrids_329
JAUCFL010000007.1.region006,NRPS-like,NRPS,GCA_030348445.1,JAUCFL010000007.1,3364,3364,3364,,305,unknown_family,u_NRPS_305,265,unknown_family,u_NRPS_265
JAUCFL010000007.1.region008,lassopeptide,RiPPs,GCA_030348445.1,JAUCFL010000007.1,3366,3366,3366,2582,283,unknown_family,u_RiPPs_283,96,unknown_family,u_RiPPs_96
JAUCFL010000007.1.region003,NRPS,NRPS,GCA_030348445.1,JAUCFL010000007.1,3361,3361,3361,,311,unknown_family,u_NRPS_311,271,unknown_family,u_NRPS_271
JAUCFL010000007.1.region009,proteusin,RiPPs,GCA_030348445.1,JAUCFL010000007.1,3504,3367,3504,2582,264,unknown_family,u_RiPPs_264,99,unknown_family,u_RiPPs_99
JAUCFL010000007.1.region016,NRPS,NRPS,GCA_030348445.1,JAUCFL010000007.1,380,380,380,,47,known_family,polymyxin B;macolacin;polymyxin;colistin A;colistin B,43,known_family,polymyxin B;macolacin;polymyxin;colistin A;colistin B
CP126096.1.region002,NRPS,NRPS,GCA_030123125.1,CP126096.1,2620,2620,2620,,30,unknown_family,u_NRPS_30,25,unknown_family,u_NRPS_25
CP126096.1.region004,NI-siderophore.terpene,Others,GCA_030123125.1,CP126096.1,2681,2527,2681,794,28,unknown_family,u_Others_28,3,unknown_family,u_Others_3
CP126096.1.region010,RiPP-like,RiPPs,GCA_030123125.1,CP126096.1,2687,2687,2687,2582,76,unknown_family,u_RiPPs_76,74,unknown_family,u_RiPPs_74
CP126096.1.region011,NRP-metallophore.NRPS,Others,GCA_030123125.1,CP126096.1,2535,2969,2969,794,38,unknown_family,u_Others_38,31,unknown_family,u_Others_31
CP126096.1.region003,RRE-containing,RiPPs,GCA_030123125.1,CP126096.1,2526,2526,2526,2963,29,unknown_family,u_RiPPs_29,24,unknown_family,u_RiPPs_24
CP126096.1.region005,betalactone,Others,GCA_030123125.1,CP126096.1,3576,2589,3576,794,27,unknown_family,u_Others_27,1,known_family,fengycin
CP126096.1.region001,NRPS-like,NRPS,GCA_030123125.1,CP126096.1,3578,3578,3578,,53,unknown_family,u_NRPS_53,48,unknown_family,u_NRPS_48
CP126096.1.region006,terpene,Terpene,GCA_030123125.1,CP126096.1,2683,2590,2683,2488,36,unknown_family,u_Terpene_36,6,unknown_family,u_Terpene_6
CP126096.1.region009,betalactone,Others,GCA_030123125.1,CP126096.1,3231,3231,3231,794,34,unknown_family,u_Others_34,28,unknown_family,u_Others_28
CP126096.1.region007,T3PKS,PKSother,GCA_030123125.1,CP126096.1,2684,2591,2684,,33,unknown_family,u_PKSother_33,4,unknown_family,u_PKSother_4
CP126096.1.region008,RiPP-like,RiPPs,GCA_030123125.1,CP126096.1,2685,2685,2685,2582,43,unknown_family,u_RiPPs_43,35,unknown_family,u_RiPPs_35
CP126688.1.region005,NRPS,NRPS,GCA_030219985.1,CP126688.1,2910,2910,2910,,31,unknown_family,u_NRPS_31,26,unknown_family,u_NRPS_26
CP126688.1.region008,RiPP-like,RiPPs,GCA_030219985.1,CP126688.1,2939,2939,2939,2582,5,unknown_family,u_RiPPs_5,9,unknown_family,u_RiPPs_9
CP126688.1.region009,NRPS,NRPS,GCA_030219985.1,CP126688.1,2940,2940,2940,,15,unknown_family,u_NRPS_15,13,unknown_family,u_NRPS_13
CP126688.1.region004,NRP-metallophore.NRPS,Others,GCA_030219985.1,CP126688.1,3067,3067,3067,794,6,unknown_family,u_Others_6,2,unknown_family,u_Others_2
CP126688.1.region007,RiPP-like,RiPPs,GCA_030219985.1,CP126688.1,2938,2938,2938,2582,26,unknown_family,u_RiPPs_26,23,unknown_family,u_RiPPs_23
CP126687.1.region002,T1PKS.lanthipeptide-class-ii.NRPS,Others,GCA_030219985.1,CP126687.1,2920,2920,2920,794,101,unknown_family,u_Others_101,92,unknown_family,u_Others_92
CP126687.1.region001,LAP.thiopeptide.sactipeptide,RiPPs,GCA_030219985.1,CP126687.1,561,561,561,2582,102,known_family,thurincin H,93,known_family,thurincin H
CP126688.1.region010,terpene,Terpene,GCA_030219985.1,CP126688.1,2941,2941,2941,2941,2,unknown_family,u_Terpene_2,5,unknown_family,u_Terpene_5
CP126688.1.region001,NRPS-like,NRPS,GCA_030219985.1,CP126688.1,3135,3135,3135,,37,unknown_family,u_NRPS_37,30,unknown_family,u_NRPS_30
CP126688.1.region003,NI-siderophore,Others,GCA_030219985.1,CP126688.1,2934,2934,2934,3322,3,known_family,petrobactin,7,known_family,petrobactin
CP126688.1.region002,LAP,RiPPs,GCA_030219985.1,CP126688.1,3065,3065,3065,3065,4,unknown_family,u_RiPPs_4,8,unknown_family,u_RiPPs_8
CP126688.1.region006,betalactone,Others,GCA_030219985.1,CP126688.1,3563,2937,3563,2937,1,unknown_family,u_Others_1,1,known_family,fengycin
CP126099.1.region009,terpene,Terpene,GCA_030123185.1,CP126099.1,2941,2941,2941,2941,2,unknown_family,u_Terpene_2,5,unknown_family,u_Terpene_5
CP126099.1.region005,betalactone,Others,GCA_030123185.1,CP126099.1,3068,3563,3068,2937,1,unknown_family,u_Others_1,1,known_family,fengycin
CP126099.1.region008,NRPS,NRPS,GCA_030123185.1,CP126099.1,2940,2940,2940,,15,unknown_family,u_NRPS_15,13,unknown_family,u_NRPS_13
CP126099.1.region004,NRP-metallophore.NRPS,Others,GCA_030123185.1,CP126099.1,3067,3067,3067,794,6,unknown_family,u_Others_6,2,unknown_family,u_Others_2
CP126099.1.region001,RiPP-like,RiPPs,GCA_030123185.1,CP126099.1,2708,2708,2708,2582,260,unknown_family,u_RiPPs_260,230,unknown_family,u_RiPPs_230
CP126099.1.region007,RiPP-like,RiPPs,GCA_030123185.1,CP126099.1,3015,2714,3561,2582,121,unknown_family,u_RiPPs_121,9,unknown_family,u_RiPPs_9
CP126099.1.region006,RiPP-like,RiPPs,GCA_030123185.1,CP126099.1,3069,3069,3069,2582,26,unknown_family,u_RiPPs_26,23,unknown_family,u_RiPPs_23
CP126099.1.region003,NI-siderophore,Others,GCA_030123185.1,CP126099.1,2934,2934,2934,3322,3,known_family,petrobactin,7,known_family,petrobactin
CP126099.1.region002,LAP,RiPPs,GCA_030123185.1,CP126099.1,3566,3566,3566,3065,4,unknown_family,u_RiPPs_4,8,unknown_family,u_RiPPs_8
JAUCEZ010000009.1.region004,lassopeptide,RiPPs,GCA_030348705.1,JAUCEZ010000009.1,3007,3007,3007,2582,25,unknown_family,u_RiPPs_25,22,unknown_family,u_RiPPs_22
JAUCEZ010000009.1.region002,terpene,Terpene,GCA_030348705.1,JAUCEZ010000009.1,2779,2779,2779,2488,17,unknown_family,u_Terpene_17,16,unknown_family,u_Terpene_16
JAUCEZ010000009.1.region001,NI-siderophore,Others,GCA_030348705.1,JAUCEZ010000009.1,3556,3415,3556,794,12,unknown_family,u_Others_12,3,unknown_family,u_Others_3
JAUCEZ010000009.1.region003,LAP,RiPPs,GCA_030348705.1,JAUCEZ010000009.1,2582,2582,2582,2582,14,unknown_family,u_RiPPs_14,14,unknown_family,u_RiPPs_14
JAUCEZ010000009.1.region005,terpene,Terpene,GCA_030348705.1,JAUCEZ010000009.1,3551,3551,3551,2488,18,unknown_family,u_Terpene_18,17,unknown_family,u_Terpene_17
JAUCEZ010000009.1.region008,cyclic-lactone-autoinducer,RiPPs,GCA_030348705.1,JAUCEZ010000009.1,3241,3241,3241,2582,114,unknown_family,u_RiPPs_114,106,unknown_family,u_RiPPs_106
JAUCEZ010000009.1.region007,betalactone.NRPS,Others,GCA_030348705.1,JAUCEZ010000009.1,3422,3422,3422,794,13,unknown_family,u_Others_13,1,known_family,fengycin
JAUCEZ010000009.1.region009,NRPS,NRPS,GCA_030348705.1,JAUCEZ010000009.1,351,351,351,,21,known_family,koranimine,19,known_family,koranimine
JAUCEZ010000009.1.region006,T3PKS,PKSother,GCA_030348705.1,JAUCEZ010000009.1,3421,3421,3421,,16,unknown_family,u_PKSother_16,15,unknown_family,u_PKSother_15
JAUCEV010000008.1.region003,NI-siderophore,Others,GCA_030348785.1,JAUCEV010000008.1,3556,3415,3556,794,12,unknown_family,u_Others_12,3,unknown_family,u_Others_3
JAUCEV010000008.1.region005,LAP,RiPPs,GCA_030348785.1,JAUCEV010000008.1,2582,2582,2582,2582,14,unknown_family,u_RiPPs_14,14,unknown_family,u_RiPPs_14
JAUCEV010000001.1.region001,betalactone,Others,GCA_030348785.1,JAUCEV010000001.1,3422,3422,3422,794,13,unknown_family,u_Others_13,1,known_family,fengycin
JAUCEV010000008.1.region001,NRPS,NRPS,GCA_030348785.1,JAUCEV010000008.1,3003,3003,3003,,39,unknown_family,u_NRPS_39,32,unknown_family,u_NRPS_32
JAUCEV010000008.1.region008,T3PKS,PKSother,GCA_030348785.1,JAUCEV010000008.1,3421,3421,3421,,16,unknown_family,u_PKSother_16,15,unknown_family,u_PKSother_15
JAUCEV010000008.1.region004,terpene,Terpene,GCA_030348785.1,JAUCEV010000008.1,2583,2617,2583,2488,17,unknown_family,u_Terpene_17,16,unknown_family,u_Terpene_16
JAUCEV010000008.1.region002,NRPS,NRPS,GCA_030348785.1,JAUCEV010000008.1,351,351,351,,21,known_family,koranimine,19,known_family,koranimine
JAUCEV010000008.1.region006,lassopeptide,RiPPs,GCA_030348785.1,JAUCEV010000008.1,3007,3007,3007,2582,25,unknown_family,u_RiPPs_25,22,unknown_family,u_RiPPs_22
JAUCEV010000008.1.region007,terpene,Terpene,GCA_030348785.1,JAUCEV010000008.1,3551,3551,3551,2488,18,unknown_family,u_Terpene_18,17,unknown_family,u_Terpene_17
CP128119.1.region001,lanthipeptide-class-ii,RiPPs,GCA_030292095.1,CP128119.1,3011,3011,3011,2582,209,unknown_family,u_RiPPs_209,188,unknown_family,u_RiPPs_188
CP128119.1.region009,lanthipeptide-class-i,RiPPs,GCA_030292095.1,CP128119.1,3019,3019,3019,2582,193,unknown_family,u_RiPPs_193,173,unknown_family,u_RiPPs_173
CP128119.1.region007,RRE-containing,RiPPs,GCA_030292095.1,CP128119.1,3017,3017,3017,2582,250,unknown_family,u_RiPPs_250,222,unknown_family,u_RiPPs_222
CP128119.1.region002,LAP.ranthipeptide,RiPPs,GCA_030292095.1,CP128119.1,3433,3433,3433,3065,4,unknown_family,u_RiPPs_4,8,unknown_family,u_RiPPs_8
CP128119.1.region010,lassopeptide,RiPPs,GCA_030292095.1,CP128119.1,3327,3327,3327,2582,24,unknown_family,u_RiPPs_24,21,unknown_family,u_RiPPs_21
CP128127.1.region001,NRPS,NRPS,GCA_030292095.1,CP128127.1,3021,3021,3021,,303,unknown_family,u_NRPS_303,263,unknown_family,u_NRPS_263
CP128119.1.region003,NI-siderophore,Others,GCA_030292095.1,CP128119.1,3452,3452,3452,3322,3,known_family,petrobactin,7,known_family,petrobactin
CP128119.1.region006,betalactone,Others,GCA_030292095.1,CP128119.1,3563,3453,3563,2937,1,unknown_family,u_Others_1,1,known_family,fengycin
CP128119.1.region008,terpene,Terpene,GCA_030292095.1,CP128119.1,3326,3326,3326,3326,2,unknown_family,u_Terpene_2,5,unknown_family,u_Terpene_5
CP128119.1.region005,RiPP-like,RiPPs,GCA_030292095.1,CP128119.1,3015,2949,2949,2582,110,unknown_family,u_RiPPs_110,101,unknown_family,u_RiPPs_101
CP128119.1.region004,betalactone.NRP-metallophore.NRPS,Others,GCA_030292095.1,CP128119.1,3067,3067,3067,794,6,unknown_family,u_Others_6,2,unknown_family,u_Others_2
JAUCFF010000009.1.region011,sactipeptide,RiPPs,GCA_030348565.1,JAUCFF010000009.1,3316,3316,3316,3316,19,known_family,subtilosin A,18,known_family,subtilosin A
JAUCFF010000009.1.region006,terpene,Terpene,GCA_030348565.1,JAUCFF010000009.1,3311,2555,3311,3538,7,unknown_family,u_Terpene_7,6,unknown_family,u_Terpene_6
JAUCFF010000009.1.region009,NRP-metallophore.NRPS,Others,GCA_030348565.1,JAUCFF010000009.1,3314,3197,3197,794,11,unknown_family,u_Others_11,2,unknown_family,u_Others_2
JAUCFF010000009.1.region012,other,Others,GCA_030348565.1,JAUCFF010000009.1,3317,3317,3317,3317,8,known_family,bacilysin;bacilysin,10,known_family,bacilysin;bacilysin
JAUCFF010000009.1.region008,T3PKS,PKSother,GCA_030348565.1,JAUCFF010000009.1,3195,3103,3195,,22,unknown_family,u_PKSother_22,4,unknown_family,u_PKSother_4
JAUCFF010000009.1.region014,epipeptide,RiPPs,GCA_030348565.1,JAUCFF010000009.1,3319,3319,3319,2582,52,unknown_family,u_RiPPs_52,46,unknown_family,u_RiPPs_46
JAUCFF010000009.1.region013,RRE-containing,RiPPs,GCA_030348565.1,JAUCFF010000009.1,3318,3318,3318,2582,82,unknown_family,u_RiPPs_82,80,unknown_family,u_RiPPs_80
JAUCFF010000009.1.region004,transAT-PKS.PKS-like.T3PKS.NRPS,PKS-NRP_Hybrids,GCA_030348565.1,JAUCFF010000009.1,2553,2553,2553,2553,10,known_family,bacillaene,12,known_family,bacillaene
JAUCFF010000009.1.region010,CDPS,NRPS,GCA_030348565.1,JAUCFF010000009.1,2559,2559,2559,,32,known_family,pulcherriminic acid,27,known_family,pulcherriminic acid
JAUCFF010000009.1.region003,terpene,Terpene,GCA_030348565.1,JAUCFF010000009.1,3099,3099,3099,3099,23,unknown_family,u_Terpene_23,20,unknown_family,u_Terpene_20
JAUCFF010000009.1.region001,ranthipeptide.sactipeptide,RiPPs,GCA_030348565.1,JAUCFF010000009.1,562,3271,562,2582,72,known_family,sporulation killing factor,47,known_family,sporulation killing factor;subtilomycin
JAUCFF010000009.1.region002,NRPS,NRPS,GCA_030348565.1,JAUCFF010000009.1,2550,2550,2550,,9,known_family,surfactin,11,known_family,surfactin
JAUCFF010000009.1.region007,glycocin,RiPPs,GCA_030348565.1,JAUCFF010000009.1,519,519,519,2582,80,known_family,sublancin 168,77,known_family,sublancin 168
JAUCFF010000009.1.region005,betalactone.NRPS,Others,GCA_030348565.1,JAUCFF010000009.1,2554,3101,2554,794,20,unknown_family,u_Others_20,1,known_family,fengycin
JAVIVO010000002.1.region001,NRPS,NRPS,GCA_031324265.1,JAVIVO010000002.1,3545,3545,3545,,9,known_family,surfactin,11,known_family,surfactin
JAVIVO010000001.1.region004,transAT-PKS.betalactone.NRPS,Others,GCA_031324265.1,JAVIVO010000001.1,3539,2750,3539,794,41,known_family,fengycin,1,known_family,fengycin
JAVIVO010000001.1.region006,transAT-PKS,PKSother,GCA_031324265.1,JAVIVO010000001.1,2748,2748,2748,,40,known_family,macrolactin H;macrolactin B;macrolactin 1c;macrolactin E;macrolactin H,33,known_family,macrolactin H;macrolactin B;macrolactin 1c;macrolactin E;macrolactin H
JAVIVO010000001.1.region008,PKS-like,PKSother,GCA_031324265.1,JAVIVO010000001.1,3486,3486,3486,,49,unknown_family,u_PKSother_49,44,unknown_family,u_PKSother_44
JAVIVO010000003.1.region001,T1PKS.transAT-PKS-like,PKSother,GCA_031324265.1,JAVIVO010000003.1,3546,3546,3546,,339,unknown_family,u_PKSother_339,295,unknown_family,u_PKSother_295
JAVIVO010000001.1.region005,transAT-PKS.T3PKS.NRPS,PKS-NRP_Hybrids,GCA_031324265.1,JAVIVO010000001.1,1023,1023,1023,1023,10,known_family,bacillaene,12,known_family,bacillaene
JAVIVO010000001.1.region003,terpene,Terpene,GCA_031324265.1,JAVIVO010000001.1,3538,3538,3538,3538,7,unknown_family,u_Terpene_7,6,unknown_family,u_Terpene_6
JAVIVO010000001.1.region009,transAT-PKS.T3PKS,PKSother,GCA_031324265.1,JAVIVO010000001.1,3544,3544,3544,,340,unknown_family,u_PKSother_340,296,unknown_family,u_PKSother_296
JAVIVO010000001.1.region007,terpene,Terpene,GCA_031324265.1,JAVIVO010000001.1,3485,3485,3485,2488,50,unknown_family,u_Terpene_50,45,unknown_family,u_Terpene_45
JAVIVO010000016.1.region001,other,Others,GCA_031324265.1,JAVIVO010000016.1,3317,3317,3317,3317,8,known_family,bacilysin;bacilysin,10,known_family,bacilysin;bacilysin
JAVIVO010000001.1.region001,transAT-PKS,PKSother,GCA_031324265.1,JAVIVO010000001.1,3384,3384,3384,,44,known_family,difficidin,36,known_family,difficidin
JAVIVO010000001.1.region002,T3PKS,PKSother,GCA_031324265.1,JAVIVO010000001.1,3195,3480,3195,,48,unknown_family,u_PKSother_48,4,unknown_family,u_PKSother_4
JAVIVO010000016.1.region002,RiPP-like.NRP-metallophore.NRPS,Others,GCA_031324265.1,JAVIVO010000016.1,3548,3548,3548,794,11,unknown_family,u_Others_11,2,unknown_family,u_Others_2
