fam_id_0.50,fam_type,fam_name,clusters_in_fam,mibig_ids
81,unknown_family,u_NRPS_81,3,
82,unknown_family,u_PKSother_82,3,
83,unknown_family,u_Terpene_83,3,
84,unknown_family,u_Terpene_84,3,
85,unknown_family,u_Terpene_85,3,
86,unknown_family,u_PKS-NRP_Hybrids_86,3,
87,unknown_family,u_Others_87,2,
88,unknown_family,u_Others_88,2,
89,unknown_family,u_Others_89,2,
90,known_family,thurincin H,2,BGC0000600
91,unknown_family,u_RiPPs_91,2,
92,known_family,cerecidin;cerecidin A1;cerecidin A2;cerecidin A3;cerecidin A4;cerecidin A5;cerecidin A6;cerecidin A7,2,BGC0000502
93,known_family,paenilan,2,BGC0001727
94,unknown_family,u_RiPPs_94,2,
95,unknown_family,u_RiPPs_95,2,
96,known_family,lichenicidin VK21 A1;lichenicidin VK21 A2,2,BGC0000525
97,unknown_family,u_RiPPs_97,2,
98,unknown_family,u_RiPPs_98,2,
99,unknown_family,u_RiPPs_99,2,
100,unknown_family,u_RiPPs_100,2,
101,unknown_family,u_RiPPs_101,2,
102,unknown_family,u_RiPPs_102,2,
103,unknown_family,u_RiPPs_103,2,
104,known_family,S-layer glycan,2,BGC0000796
105,unknown_family,u_RiPPs_105,2,
106,unknown_family,u_RiPPs_106,2,
107,unknown_family,u_RiPPs_107,2,
108,unknown_family,u_RiPPs_108,2,
109,known_family,fusaricidin B,2,BGC0001152
110,known_family,bacitracin,2,BGC0000310
111,known_family,bacillothiazol A;bacillothiazol B;bacillothiazol C;bacillothiazol D;bacillothiazol E;bacillothiazol F;bacillothiazol G;bacillothiazol H;bacillothiazol I;bacillothiazol J;bacillothiazol K;bacillothiazol L;bacillothiazol M;bacillothiazol N,2,BGC0002641
112,unknown_family,u_NRPS_112,2,
113,unknown_family,u_NRPS_113,2,
114,unknown_family,u_NRPS_114,2,
115,known_family,gramicidin,2,BGC0000367
116,unknown_family,u_PKSother_116,2,
117,unknown_family,u_Terpene_117,2,
118,unknown_family,u_Terpene_118,2,
119,unknown_family,u_PKS-NRP_Hybrids_119,2,
120,unknown_family,u_PKS-NRP_Hybrids_120,2,
121,unknown_family,u_Others_121,1,
122,unknown_family,u_Others_122,1,
123,unknown_family,u_Others_123,1,
124,unknown_family,u_Others_124,1,
125,unknown_family,u_Others_125,1,
126,unknown_family,u_Others_126,1,
127,unknown_family,u_Others_127,1,
128,unknown_family,u_Others_128,1,
129,unknown_family,u_Others_129,1,
130,unknown_family,u_Others_130,1,
131,unknown_family,u_Others_131,1,
132,unknown_family,u_Others_132,1,
133,unknown_family,u_Others_133,1,
134,unknown_family,u_Others_134,1,
135,unknown_family,u_Others_135,1,
136,unknown_family,u_Others_136,1,
137,unknown_family,u_Others_137,1,
138,unknown_family,u_Others_138,1,
139,unknown_family,u_Others_139,1,
140,unknown_family,u_Others_140,1,
141,unknown_family,u_Others_141,1,
142,unknown_family,u_Others_142,1,
143,unknown_family,u_Others_143,1,
144,unknown_family,u_Others_144,1,
145,unknown_family,u_Others_145,1,
146,unknown_family,u_Others_146,1,
147,unknown_family,u_Others_147,1,
148,unknown_family,u_Others_148,1,
149,unknown_family,u_Others_149,1,
150,unknown_family,u_Others_150,1,
151,unknown_family,u_RiPPs_151,1,
152,unknown_family,u_RiPPs_152,1,
153,unknown_family,u_RiPPs_153,1,
154,unknown_family,u_RiPPs_154,1,
155,unknown_family,u_RiPPs_155,1,
156,unknown_family,u_RiPPs_156,1,
157,unknown_family,u_RiPPs_157,1,
158,unknown_family,u_RiPPs_158,1,
159,unknown_family,u_RiPPs_159,1,
160,unknown_family,u_RiPPs_160,1,
161,unknown_family,u_RiPPs_161,1,
162,unknown_family,u_RiPPs_162,1,
163,unknown_family,u_RiPPs_163,1,
164,unknown_family,u_RiPPs_164,1,
165,unknown_family,u_RiPPs_165,1,
166,unknown_family,u_RiPPs_166,1,
167,unknown_family,u_RiPPs_167,1,
168,unknown_family,u_RiPPs_168,1,
169,unknown_family,u_RiPPs_169,1,
170,unknown_family,u_RiPPs_170,1,
171,unknown_family,u_RiPPs_171,1,
172,unknown_family,u_RiPPs_172,1,
173,unknown_family,u_RiPPs_173,1,
174,unknown_family,u_RiPPs_174,1,
175,unknown_family,u_RiPPs_175,1,
176,unknown_family,u_RiPPs_176,1,
177,unknown_family,u_RiPPs_177,1,
178,unknown_family,u_RiPPs_178,1,
179,unknown_family,u_RiPPs_179,1,
180,unknown_family,u_RiPPs_180,1,
181,unknown_family,u_RiPPs_181,1,
182,unknown_family,u_RiPPs_182,1,
183,unknown_family,u_RiPPs_183,1,
184,unknown_family,u_RiPPs_184,1,
185,unknown_family,u_RiPPs_185,1,
186,unknown_family,u_RiPPs_186,1,
187,unknown_family,u_RiPPs_187,1,
188,unknown_family,u_RiPPs_188,1,
189,unknown_family,u_RiPPs_189,1,
190,unknown_family,u_RiPPs_190,1,
191,unknown_family,u_RiPPs_191,1,
192,unknown_family,u_RiPPs_192,1,
193,unknown_family,u_RiPPs_193,1,
194,unknown_family,u_RiPPs_194,1,
195,unknown_family,u_RiPPs_195,1,
196,unknown_family,u_RiPPs_196,1,
197,unknown_family,u_RiPPs_197,1,
198,unknown_family,u_RiPPs_198,1,
199,unknown_family,u_RiPPs_199,1,
200,unknown_family,u_RiPPs_200,1,
201,unknown_family,u_RiPPs_201,1,
202,unknown_family,u_RiPPs_202,1,
203,unknown_family,u_RiPPs_203,1,
204,unknown_family,u_RiPPs_204,1,
205,unknown_family,u_RiPPs_205,1,
206,unknown_family,u_RiPPs_206,1,
207,unknown_family,u_RiPPs_207,1,
208,unknown_family,u_RiPPs_208,1,
209,unknown_family,u_RiPPs_209,1,
210,unknown_family,u_RiPPs_210,1,
211,unknown_family,u_RiPPs_211,1,
212,unknown_family,u_RiPPs_212,1,
213,unknown_family,u_RiPPs_213,1,
214,unknown_family,u_RiPPs_214,1,
215,unknown_family,u_RiPPs_215,1,
216,unknown_family,u_RiPPs_216,1,
217,unknown_family,u_RiPPs_217,1,
218,unknown_family,u_RiPPs_218,1,
219,unknown_family,u_RiPPs_219,1,
220,unknown_family,u_RiPPs_220,1,
221,unknown_family,u_RiPPs_221,1,
222,unknown_family,u_RiPPs_222,1,
223,unknown_family,u_RiPPs_223,1,
224,unknown_family,u_RiPPs_224,1,
225,unknown_family,u_RiPPs_225,1,
226,unknown_family,u_RiPPs_226,1,
227,unknown_family,u_NRPS_227,1,
228,unknown_family,u_NRPS_228,1,
229,unknown_family,u_NRPS_229,1,
230,unknown_family,u_NRPS_230,1,
231,unknown_family,u_NRPS_231,1,
232,unknown_family,u_NRPS_232,1,
233,unknown_family,u_NRPS_233,1,
234,unknown_family,u_NRPS_234,1,
235,unknown_family,u_NRPS_235,1,
236,unknown_family,u_NRPS_236,1,
237,unknown_family,u_NRPS_237,1,
238,unknown_family,u_NRPS_238,1,
239,unknown_family,u_NRPS_239,1,
240,unknown_family,u_NRPS_240,1,
241,unknown_family,u_NRPS_241,1,
242,unknown_family,u_NRPS_242,1,
243,unknown_family,u_NRPS_243,1,
244,unknown_family,u_NRPS_244,1,
245,unknown_family,u_NRPS_245,1,
246,unknown_family,u_NRPS_246,1,
247,unknown_family,u_PKSother_247,1,
248,unknown_family,u_PKSother_248,1,
249,unknown_family,u_PKSother_249,1,
250,unknown_family,u_PKSother_250,1,
251,unknown_family,u_PKSother_251,1,
252,unknown_family,u_PKSother_252,1,
253,unknown_family,u_PKSother_253,1,
254,unknown_family,u_PKSother_254,1,
255,unknown_family,u_PKSother_255,1,
256,unknown_family,u_PKSother_256,1,
257,unknown_family,u_PKSother_257,1,
258,unknown_family,u_PKSother_258,1,
259,unknown_family,u_PKSother_259,1,
260,unknown_family,u_Terpene_260,1,
261,unknown_family,u_Terpene_261,1,
262,unknown_family,u_Terpene_262,1,
263,unknown_family,u_Terpene_263,1,
264,unknown_family,u_Terpene_264,1,
265,unknown_family,u_Terpene_265,1,
266,unknown_family,u_Terpene_266,1,
267,unknown_family,u_Terpene_267,1,
268,unknown_family,u_Terpene_268,1,
269,unknown_family,u_Terpene_269,1,
270,unknown_family,u_Terpene_270,1,
271,unknown_family,u_Terpene_271,1,
272,unknown_family,u_Terpene_272,1,
273,unknown_family,u_Terpene_273,1,
274,unknown_family,u_Terpene_274,1,
275,unknown_family,u_Terpene_275,1,
276,unknown_family,u_Terpene_276,1,
277,unknown_family,u_Terpene_277,1,
278,unknown_family,u_Terpene_278,1,
279,unknown_family,u_Terpene_279,1,
280,unknown_family,u_Terpene_280,1,
281,unknown_family,u_Terpene_281,1,
282,unknown_family,u_Terpene_282,1,
283,unknown_family,u_Terpene_283,1,
284,unknown_family,u_Terpene_284,1,
285,unknown_family,u_PKS-NRP_Hybrids_285,1,
286,unknown_family,u_PKS-NRP_Hybrids_286,1,
287,unknown_family,u_PKS-NRP_Hybrids_287,1,
288,unknown_family,u_PKS-NRP_Hybrids_288,1,
289,unknown_family,u_PKS-NRP_Hybrids_289,1,
290,unknown_family,u_PKS-NRP_Hybrids_290,1,
291,unknown_family,u_PKS-NRP_Hybrids_291,1,
292,unknown_family,u_PKS-NRP_Hybrids_292,1,
293,unknown_family,u_PKS-NRP_Hybrids_293,1,
